zipcode;locality;subregion;region
39539;39060;39;06
39716;39028;39;06
39778;39038;39;06
40003;40194;40;07
40174;40220;40;07
40180;40157;40;07
40196;40194;40;07
40297;40179;40;07
40300;40195;40;07
40352;40110;40;07
40391;40072;40;07
40450;40138;40;07
40513;40171;40;07
41089;41038;41;01
41240;41009;41;01
41566;41072;41;01
41567;41050;41;01
41920;41086;41;01
42157;42069;42;07
42161;42027;42;07
42191;42149;42;07
42200;42020;42;07
42230;42113;42;07
43363;43157;43;09
43569;43004;43;09
43716;43002;43;09
43775;43076;43;09
43887;43098;43;09
43891;43162;43;09
43892;43092;43;09
44080;44216;44;02
44162;44216;44;02
44191;44089;44;02
44640;44221;44;02
44642;44038;44;02
44769;44238;44;02
45128;45098;45;08
45210;45205;45;08
45692;45089;45;08
45830;45101;45;08
45940;45180;45;08
46184;46903;46;10
46367;46261;46;10
46595;46245;46;10
47130;47161;47;07
47155;47155;47;07
47170;47133;47;07
47240;47182;47;07
47676;47229;47;07
48145;48088;48;16
48600;48085;48;16
49013;49275;49;07
49211;49037;49;07
49250;49265;49;07
49280;49152;49;07
49396;49050;49;07
49580;49154;49;07
49695;49243;49;07
50010;50297;50;02
50018;50297;50;02
50090;50297;50;02
50151;50149;50;02
50155;50005;50;02
50172;50017;50;02
50197;50297;50;02
50230;50020;50;02
01169;01003;01;16
01196;01059;01;16
01320;01043;01;16
02300;02008;02;08
02484;02086;02;08
02512;02003;02;08
03400;03140;03;10
03530;03094;03;10
03791;03097;03;10
03815;03103;03;10
04280;04048;04;01
04459;04067;04;01
04661;04017;04;01
04826;04099;04;01
04877;04085;04;01
05001;05019;05;07
05239;05168;05;07
05310;05074;05;07
05427;05075;05;07
05430;05002;05;07
05514;05038;05;07
06173;06092;06;11
06178;06148;06;11
06350;06067;06;11
06380;06070;06;11
06458;06146;06;11
06474;06138;06;11
06519;06006;06;11
06820;06043;06;11
06980;06053;06;11
07199;07040;07;04
08015;08019;08;09
08020;08019;08;09
08023;08019;08;09
08075;08019;08;09
08080;08019;08;09
08183;08064;08;09
08189;08239;08;09
08243;08113;08;09
08293;08069;08;09
08303;08121;08;09
08318;08075;08;09
08403;08096;08;09
08455;08306;08;09
08461;08207;08;09
08519;08083;08;09
08693;08049;08;09
08739;08273;08;09
08755;08054;08;09
08783;08119;08;09
08810;08231;08;09
08960;08221;08;09
09191;09904;09;07
09195;09023;09;07
09251;09115;09;07
09272;09048;09;07
09345;09389;09;07
10002;10037;10;11
10120;10109;10;11
10130;10219;10;11
10330;10213;10;11
10430;10068;10;11
10450;10105;10;11
10592;10056;10;11
10800;10067;10;11
10879;10004;10;11
11270;11004;11;01
11368;11033;11;01
12110;12005;12;10
12124;12130;12;10
12440;12043;12;10
12489;12107;12;10
12500;12138;12;10
12596;12117;12;10
13001;13034;13;08
13113;13063;13;08
13180;13001;13;08
13230;13054;13;08
13414;13073;13;08
13760;13016;13;08
14110;14030;14;01
14120;14030;14;01
14191;14017;14;01
14630;14050;14;01
14660;14014;14;01
14817;14055;14;01
15008;15030;15;12
15100;15019;15;12
15168;15075;15;12
15181;15017;15;12
15240;15053;15;12
15349;15061;15;12
15366;15901;15;12
15543;15087;15;12
15822;15085;15;12
15881;15012;15;12
15884;15078;15;12
15892;15078;15;12
15930;15011;15;12
15937;15011;15;12
16111;16273;16;08
16192;16040;16;08
16251;16096;16;08
16318;16189;16;08
16321;16202;16;08
16878;16053;16;08
17111;17902;17;09
17164;17163;17;09
17183;17233;17;09
17320;17202;17;09
17405;17063;17;09
17470;17210;17;09
17492;17132;17;09
17700;17086;17;09
17709;17086;17;09
18110;18905;18;01
18152;18068;18;01
18565;18038;18;01
18569;18132;18;01
18610;18173;18;01
18708;18004;18;01
18812;18078;18;01
19188;19293;19;08
19240;19156;19;08
19243;19226;19;08
19334;19265;19;08
19411;19053;19;08
20008;20069;20;16
20494;20006;20;16
20738;20018;20;16
20809;20016;20;16
21420;21010;21;01
21510;21063;21;01
22134;22064;22;02
22193;22163;22;02
22196;22125;22;02
22314;22202;22;02
22395;22907;22;02
22472;22143;22;02
22585;22247;22;02
22666;22199;22;02
22720;22901;22;02
22750;22902;22;02
22889;22130;22;02
23300;23095;23;01
23350;23071;23;01
23477;23030;23;01
23490;23055;23;01
23538;23001;23;01
23568;23015;23;01
24135;24101;24;07
24156;24175;24;07
24288;24223;24;07
24292;24190;24;07
24342;24031;24;07
24389;24016;24;07
24470;24110;24;07
24480;24109;24;07
24491;24115;24;07
24547;24030;24;07
24735;24047;24;07
24811;24137;24;07
24877;24068;24;07
24889;24183;24;07
25071;25120;25;09
25174;25212;25;09
25184;25131;25;09
25281;25129;25;09
25315;25138;25;09
25335;25164;25;09
25457;25253;25;09
01012;01059;01;16
02313;02059;02;08
02435;02072;02;08
02461;02028;02;08
02651;02033;02;08
03149;03076;03;10
03182;03133;03;10
03312;03099;03;10
03316;03099;03;10
03317;03099;03;10
03320;03065;03;10
03688;03013;03;10
03690;03122;03;10
03740;03071;03;10
03804;03009;03;10
04116;04066;04;01
04259;04074;04;01
04559;04050;04;01
04621;04100;04;01
04692;04053;04;01
04768;04007;04;01
05191;05172;05;07
05530;05224;05;07
06050;06015;06;11
06131;06007;06;11
06170;06015;06;11
06190;06115;06;11
06610;06100;06;11
06615;06018;06;11
06940;06003;06;11
07080;07040;07;04
07121;07040;07;04
07179;07061;07;04
07530;07051;07;04
07579;07006;07;04
07590;07014;07;04
07629;07004;07;04
07640;07059;07;04
07659;07057;07;04
08107;08115;08;09
08230;08120;08;09
08263;08229;08;09
08300;08121;08;09
08570;08285;08;09
08754;08158;08;09
08773;08122;08;09
08782;08119;08;09
08794;08027;08;09
08800;08307;08;09
09250;09048;09;07
09500;09209;09;07
09679;09232;09;07
10164;10037;10;11
10230;10092;10;11
10291;10195;10;11
10380;10103;10;11
10512;10094;10;11
10514;10203;10;11
10617;10154;10;11
10626;10135;10;11
10628;10051;10;11
10849;10101;10;11
10868;10093;10;11
11140;11014;11;01
11207;11004;11;01
11316;11022;11;01
11339;11021;11;01
12005;12040;12;10
12181;12029;12;10
12430;12022;12;10
12578;12044;12;10
13002;13034;13;08
13329;13032;13;08
13344;13084;13;08
13770;13098;13;08
14003;14021;14;01
14008;14021;14;01
14547;14060;14;01
14800;14055;14;01
14813;14004;14;01
15129;15092;15;12
15150;15092;15;12
15297;15034;15;12
15359;15022;15;12
15369;15901;15;12
15388;15902;15;12
15404;15036;15;12
15528;15035;15;12
15541;15054;15;12
15569;15025;15;12
15570;15054;15;12
15577;15055;15;12
15864;15002;15;12
15873;15088;15;12
15874;15088;15;12
16150;16215;16;08
16160;16148;16;08
16196;16263;16;08
16371;16137;16;08
16390;16146;16;08
16440;16130;16;08
16840;16254;16;08
17002;17079;17;09
17120;17057;17;09
17131;17153;17;09
17213;17013;17;09
17460;17049;17;09
17465;17187;17;09
17720;17102;17;09
17732;17171;17;09
17743;17228;17;09
17846;17137;17;09
17853;17010;17;09
17862;17170;17;09
17864;17177;17;09
18013;18087;18;01
18129;18034;18;01
18183;18099;18;01
18550;18105;18;01
18615;18906;18;01
18620;18014;18;01
18650;18071;18;01
18730;18140;18;01
18800;18023;18;01
19139;19326;19;08
19224;19311;19;08
19226;19189;19;08
19292;19113;19;08
19326;19222;19;08
19346;19254;19;08
19429;19086;19;08
19431;19086;19;08
20220;20051;20;16
20247;20078;20;16
20259;20904;20;16
20492;20022;20;16
21340;21001;21;01
21650;21018;21;01
22001;22125;22;02
22220;22008;22;02
22282;22014;22;02
22471;22143;22;02
22586;22142;22;02
22590;22234;22;02
22665;22059;22;02
22729;22106;22;02
22771;22076;22;02
22791;22209;22;02
22806;50238;50;02
23314;23092;23;01
23320;23088;23;01
23412;23074;23;01
23470;23028;23;01
23569;23044;23;01
24146;24164;24;07
24174;24051;24;07
24270;24039;24;07
24341;24069;24;07
24514;24059;24;07
24650;24114;24;07
24740;24172;24;07
25006;25120;25;09
25125;25016;25;09
25190;25120;25;09
25212;25911;25;09
25240;25122;25;09
25260;25113;25;09
25333;25164;25;09
25340;25242;25;09
25420;25180;25;09
25517;25161;25;09
25555;25173;25;09
25594;25126;25;09
25658;25115;25;09
25751;25223;25;09
25790;25044;25;09
26121;26103;26;17
26123;26169;26;17
26124;26122;26;17
26131;26083;26;17
26221;26068;26;17
26240;26043;26;17
26257;26074;26;17
26359;26154;26;17
27070;27028;27;12
27118;27018;27;12
27178;27049;27;12
27192;27028;27;12
27307;27022;27;12
27559;27060;27;12
27578;27003;27;12
27593;27041;27;12
27596;27060;27;12
27631;27055;27;12
27740;27030;27;12
27825;27065;27;12
27869;27066;27;12
27879;27025;27;12
28016;28079;28;13
28100;28006;28;13
28224;28115;28;13
28295;28159;28;13
28470;28038;28;13
28515;28101;28;13
28570;28102;28;13
28650;28037;28;13
28660;28022;28;13
28700;28134;28;13
28710;28086;28;13
28742;28076;28;13
28851;28148;28;13
28863;28041;28;13
28912;28074;28;13
29230;29015;29;01
29400;29084;29;01
29530;29001;29;01
29566;29040;29;01
29601;29069;29;01
29719;29094;29;01
29749;29094;29;01
30155;30030;30;14
30158;30030;30;14
30334;30021;30;14
30338;30021;30;14
30529;30022;30;14
30611;30031;30;14
30648;30001;30;14
30700;30037;30;14
30860;30026;30;14
30890;30024;30;14
31150;31167;31;15
31171;31193;31;15
31292;31260;31;15
31410;31261;31;15
31490;31069;31;15
31511;31062;31;15
31592;31072;31;15
31715;31050;31;15
31749;31102;31;15
31868;31131;31;15
32228;32056;32;12
32356;32060;32;12
32370;32060;32;12
32411;32046;32;12
32520;32004;32;12
32630;32032;32;12
32635;32032;32;12
32750;32049;32;12
32810;32068;32;12
33192;33066;33;03
33212;33024;33;03
33411;33030;33;03
33417;33004;33;03
33557;33012;33;03
33721;33034;33;03
33746;33070;33;03
33789;33034;33;03
33826;33026;33;03
33867;33059;33;03
33877;33073;33;03
33879;33073;33;03
33950;33060;33;03
34800;34004;34;07
35015;35016;35;05
35109;35019;35;05
35216;35031;35;05
35240;35011;35;05
35423;35013;35;05
35432;35008;35;05
35628;35015;35;05
36164;36038;36;12
36208;36057;36;12
36417;36033;36;12
36420;36014;36;12
36585;36059;36;12
36619;36060;36;12
36640;36044;36;12
36770;36048;36;12
36790;36054;36;12
36856;36012;36;12
36877;36030;36;12
36979;36051;36;12
36992;36041;36;12
37002;37274;37;07
37291;37055;37;07
37420;37152;37;07
37456;37346;37;07
37600;37316;37;07
37680;37331;37;07
37682;37298;37;07
37754;37035;37;07
37865;37169;37;07
38201;38023;38;05
38280;38046;38;05
38450;38015;38;05
38459;38015;38;05
38687;38019;38;05
38913;38013;38;05
39559;39063;39;06
39582;39015;39;06
39681;39039;39;06
39794;39062;39;06
39798;39020;39;06
40071;40194;40;07
40133;40118;40;07
40340;40004;40;07
40419;40076;40;07
41111;41010;41;01
41300;41081;41;01
41310;41018;41;01
41560;41041;41;01
41661;41008;41;01
41703;41038;41;01
41720;41069;41;01
41740;41053;41;01
41750;41063;41;01
41928;41070;41;01
42248;42113;42;07
42311;42052;42;07
43004;43148;43;09
43155;43103;43;09
43330;43129;43;09
43412;43147;43;09
43510;43155;43;09
43519;43104;43;09
43595;43117;43;09
43765;43144;43;09
43773;43017;43;09
43840;43905;43;09
43886;43122;43;09
43895;43906;43;09
44110;44117;44;02
44166;44200;44;02
44168;44062;44;02
44791;44124;44;02
45001;45168;45;08
45008;45168;45;08
45100;45163;45;08
45110;45001;45;08
45180;45031;45;08
45211;45145;45;08
45440;45190;45;08
25597;25903;25;09
25612;25156;25;09
25620;25234;25;09
25660;25012;25;09
26223;26076;26;17
26330;26034;26;17
26587;26100;26;17
27233;27028;27;12
27247;27046;27;12
27317;27052;27;12
27334;27047;27;12
27415;27031;27;12
27430;27041;27;12
27466;27059;27;12
27533;27016;27;12
27648;27006;27;12
27680;27901;27;12
27693;27026;27;12
27826;27021;27;12
27842;27065;27;12
27870;27025;27;12
28460;28087;28;13
28514;28100;28;13
28530;28091;28;13
28600;28096;28;13
28694;28051;28;13
28730;28027;28;13
28910;28074;28;13
29014;29067;29;01
29018;29067;29;01
29314;29017;29;01
29440;29060;29;01
29470;29048;29;01
29754;29045;29;01
30107;30030;30;14
30365;30016;30;14
30396;30016;30;14
30398;30016;30;14
30439;30017;30;14
30506;30027;30;14
30609;30009;30;14
30730;30035;30;14
31070;31201;31;15
31151;31183;31;15
31192;31086;31;15
31227;31063;31;15
31422;31237;31;15
31521;31176;31;15
31530;31078;31;15
31640;31058;31;15
31792;31054;31;15
32562;32086;32;12
32577;32045;32;12
32643;32062;32;12
32646;32016;32;12
32708;32043;32;12
32720;32031;32;12
32767;32029;32;12
32769;32023;32;12
32790;32049;32;12
32823;32020;32;12
32879;32042;32;12
32930;32008;32;12
33013;33044;33;03
33159;33021;33;03
33199;33044;33;03
33615;33037;33;03
33669;33044;33;03
33843;33005;33;03
33845;33005;33;03
33868;33059;33;03
33930;33031;33;03
34811;34004;34;07
34886;34199;34;07
34888;34199;34;07
35003;35016;35;05
35200;35026;35;05
35412;35006;35;05
35460;35009;35;05
35558;35018;35;05
35561;35024;35;05
36515;36024;36;12
36542;36052;36;12
36579;36052;36;12
36612;36010;36;12
36678;36015;36;12
36870;36030;36;12
36949;36008;36;12
37267;37363;37;07
37311;37296;37;07
37497;37359;37;07
37656;37098;37;07
37770;37156;37;07
38110;38038;38;05
38260;38023;38;05
38580;38005;38;05
38611;38017;38;05
38652;38006;38;05
38688;38019;38;05
38759;38024;38;05
38760;38024;38;05
38810;38003;38;05
39001;39075;39;06
39008;39075;39;06
39160;39061;39;06
39525;39001;39;06
39550;39033;39;06
39554;39063;39;06
39586;39015;39;06
39722;39037;39;06
39761;39009;39;06
39776;39036;39;06
40151;40104;40;07
40182;40034;40;07
40312;40195;40;07
40424;40076;40;07
40495;40068;40;07
41630;41052;41;01
41749;41903;41;01
41880;41083;41;01
42164;42019;42;07
43736;43085;43;09
43792;43152;43;09
44121;44216;44;02
44131;44264;44;02
44367;44045;44;02
44413;44244;44;02
44450;44192;44;02
44479;44171;44;02
44555;44183;44;02
45138;45113;45;08
45533;45037;45;08
45542;45040;45;08
45675;45148;45;08
46008;46250;46;10
46009;46250;46;10
46111;46216;46;10
46134;46126;46;10
46142;46092;46;10
46260;46011;46;10
46268;46017;46;10
46354;46213;46;10
46380;46109;46;10
46501;46192;46;10
46687;46008;46;10
46724;46187;46;10
46850;46183;46;10
46870;46184;46;10
47009;47186;47;07
47169;47076;47;07
47174;47221;47;07
47180;47206;47;07
47191;47051;47;07
47230;47082;47;07
47238;47074;47;07
47340;47157;47;07
48170;48905;48;16
48211;48001;48;16
48820;48045;48;16
48895;48051;48;16
48910;48084;48;16
49148;49164;49;07
49180;49007;49;07
49191;49096;49;07
49357;49189;49;07
49500;49003;49;07
49563;49262;49;07
49619;49206;49;07
49650;49188;49;07
50002;50297;50;02
50153;50290;50;02
28648;28031;28;13
28921;28007;28;13
28976;28017;28;13
29001;29067;29;01
29240;29093;29;01
29320;29032;29;01
29380;29046;29;01
29394;29084;29;01
29510;29012;29;01
29660;29069;29;01
29693;29051;29;01
29738;29082;29;01
29751;29094;29;01
29788;29053;29;01
30007;30030;30;14
30140;30901;30;14
30530;30019;30;14
30628;30020;30;14
31210;31029;31;15
31219;31166;31;15
31393;31051;31;15
31398;31228;31;15
31512;31106;31;15
31579;31066;31;15
31829;31091;31;15
32150;32059;32;12
32236;32056;32;12
32415;32069;32;12
32510;32016;32;12
32525;32011;32;12
32537;32035;32;12
32550;32086;32;12
32644;32062;32;12
32779;32070;32;12
32780;32063;32;12
32815;32024;32;12
33006;33044;33;03
33330;33019;33;03
33440;33025;33;03
33535;33049;33;03
33593;33036;33;03
33614;33037;33;03
33682;33037;33;03
33825;33026;33;03
33986;33032;33;03
34338;34001;34;07
34485;34093;34;07
34879;34080;34;07
35217;35031;35;05
35510;35028;35;05
35560;35029;35;05
36206;36057;36;12
36360;36035;36;12
36388;36021;36;12
36449;36034;36;12
36517;36024;36;12
36582;36059;36;12
36614;36061;36;12
36729;36055;36;12
36779;36036;36;12
36843;36037;36;12
36865;36042;36;12
36869;36042;36;12
36968;36027;36;12
37181;37069;37;07
37209;37059;37;07
37452;37211;37;07
37671;37284;37;07
37720;37102;37;07
38007;38038;38;05
38315;38026;38;05
38358;38043;38;05
38460;38042;38;05
38480;38010;38;05
38700;38008;38;05
39212;39027;39;06
39451;39004;39;06
39584;39022;39;06
39812;39067;39;06
39880;39030;39;06
40140;40216;40;07
40164;40020;40;07
40176;40150;40;07
40191;40077;40;07
40280;40141;40;07
40359;40083;40;07
40460;40189;40;07
40466;40120;40;07
40496;40230;40;07
40512;40170;40;07
40531;40071;40;07
41017;41091;41;01
41309;41081;41;01
41890;41031;41;01
42174;42165;42;07
42216;42068;42;07
43003;43148;43;09
43070;43148;43;09
43371;43075;43;09
43427;43159;43;09
43430;43176;43;09
43461;43005;43;09
43559;43156;43;09
43810;43108;43;09
44193;44082;44;02
44412;44137;44;02
44708;44176;44;02
44793;44211;44;02
45004;45168;45;08
45122;45016;45;08
45159;45112;45;08
45161;45133;45;08
45217;45176;45;08
45460;45090;45;08
45521;45024;45;08
45653;45155;45;08
46127;46070;46;10
46310;46254;46;10
46312;46249;46;10
46360;46077;46;10
46419;46235;46;10
46529;46082;46;10
46650;46081;46;10
47010;47186;47;07
47012;47186;47;07
47015;47186;47;07
47454;47095;47;07
47460;47031;47;07
47814;47003;47;07
48192;48042;48;16
48200;48027;48;16
48394;48908;48;16
49317;49112;49;07
49320;49179;49;07
49325;49017;49;07
49329;49231;49;07
49352;49085;49;07
49571;49094;49;07
49620;49200;49;07
49831;49030;49;07
49871;49267;49;07
49880;49147;49;07
50020;50297;50;02
50198;50182;50;02
50510;50190;50;02
50511;50157;50;02
50820;50297;50;02
52071;52001;52;19
52080;52001;52;19
50323;50110;50;02
50333;50286;50;02
50368;50294;50;02
50370;50289;50;02
50374;50016;50;02
50461;50018;50;02
50500;50251;50;02
50570;50006;50;02
50795;50105;50;02
50810;50298;50;02
01006;01059;01;16
01013;01059;01;16
01170;01058;01;16
01191;01059;01;16
02130;02017;02;08
02160;02043;02;08
02320;02012;02;08
02510;02029;02;08
03180;03133;03;10
03349;03904;03;10
03390;03024;03;10
03639;03123;03;10
03816;03032;03;10
03820;03056;03;10
04409;04051;04;01
04540;04065;04;01
04650;04103;04;01
04700;04902;04;01
05153;05116;05;07
05267;05201;05;07
05357;05039;05;07
05414;05066;05;07
05592;05228;05;07
05690;05037;05;07
06003;06015;06;11
06180;06015;06;11
06186;06903;06;11
06260;06085;06;11
06300;06158;06;11
06413;06082;06;11
06428;06018;06;11
06446;06160;06;11
07109;07025;07;04
07208;07022;07;04
07518;07028;07;04
07540;07051;07;04
07670;07022;07;04
07814;07054;07;04
07849;07054;07;04
