avg,cards,merchants,txs,category_id,zipcode_id,date
117.17893,1280,27,1388,16,285,201510
13.13256,3539,30,4646,17,285,201510
76.1381,2518,180,3024,13,285,201510
41.96492,337,11,386,12,285,201510
90.27403,1417,95,1650,9,285,201510
28.37998,3393,92,6194,7,285,201510
199.50567,993,35,1192,10,285,201510
68.99798,3501,147,4576,8,285,201510
41.89309,13171,368,21609,3,285,201510
124.26833,187,15,228,2,285,201510
645.445,0,0,8,1,285,201510
46.50229,465,31,516,5,285,201511
615.528,76,13,120,18,285,201511
67.44516,3576,145,4663,8,285,201511
150.50794,1077,36,1290,10,285,201511
58.60125,4649,196,5731,19,285,201511
100.64071,1706,95,2011,9,285,201511
42.73939,13911,363,22454,3,285,201511
14.62319,3466,30,4523,17,285,201511
66.69057,642,22,696,15,285,201511
72.97449,2654,189,3195,13,285,201511
27.53045,3589,101,6570,7,285,201511
105.29487,16127,660,24684,6,285,201511
50.58344,361,12,410,12,285,201511
122.91988,214,15,252,2,285,201511
57.2194,0,0,7431,1,285,201511
64.43412,481,11,541,12,285,201512
47.42328,15506,369,23586,3,285,201512
143.78059,213,14,222,2,285,201512
121.18862,1432,27,1522,16,285,201512
44.11532,560,33,624,5,285,201512
60.12001,5347,194,6667,19,285,201512
75.19243,782,22,838,15,285,201512
189.26643,983,35,1150,10,285,201512
65.33554,4006,183,4817,13,285,201512
36.1749,4428,108,7588,7,285,201512
81.92952,2082,97,2470,9,285,201512
104.09674,19340,663,30126,6,285,201512
12.13667,3868,31,4868,17,285,201512
60.35764,3318,144,4219,8,285,201512
812.55069,83,12,101,18,285,201512
46.468,0,0,5915,1,285,201512
35.67202,582,35,664,5,93,201501
241.87404,340,55,359,2,93,201501
105.37307,483,12,606,10,93,201501
39.02157,2719,102,3407,17,93,201501
49.23306,1726,132,2318,19,93,201501
18.29884,7110,47,8721,16,93,201501
55.13977,38,5,44,12,93,201501
71.7542,2641,184,3636,8,93,201501
40.30613,2539,141,3222,13,93,201501
36.42031,4891,301,9166,3,93,201501
72.93004,811,75,913,9,93,201501
425.25303,126,24,152,18,93,201501
28.79362,3983,93,9932,7,93,201501
66.81458,643,31,697,15,93,201501
58.99504,1748,156,2198,6,93,201501
25.01791,0,0,5777,1,93,201501
54.84396,1374,154,1683,6,93,201502
82.35517,2711,191,3664,8,93,201502
344.13623,117,23,154,18,93,201502
66.99798,592,29,648,15,93,201502
17.87741,6372,43,7713,16,93,201502
39.62872,39,7,47,12,93,201502
39.26797,2920,106,3683,17,93,201502
44.47146,1696,132,2292,19,93,201502
99.85499,570,12,705,10,93,201502
27.6582,3913,92,9659,7,93,201502
239.0963,288,49,311,2,93,201502
41.94536,2687,147,3412,13,93,201502
30.99955,5134,295,9652,3,93,201502
34.51936,514,37,582,5,93,201502
82.69393,688,78,778,9,93,201502
25.03102,0,0,5326,1,93,201502
27.32998,4058,90,10285,7,93,201503
39.23543,3263,111,4188,17,93,201503
58.15968,56,8,62,12,93,201503
382.69966,169,27,203,18,93,201503
21.77725,7588,153,9371,13,93,201503
73.81135,667,75,753,9,93,201503
255.34987,353,54,381,2,93,201503
76.91225,2865,187,3982,8,93,201503
33.14986,5633,308,10415,3,93,201503
46.22917,1924,136,2650,19,93,201503
102.80164,522,12,659,10,93,201503
65.4893,514,29,572,15,93,201503
59.48389,1412,151,1748,6,93,201503
27.02238,485,37,554,5,93,201503
20.16898,0,0,14515,1,93,201503
68.18843,1525,145,1912,6,93,201504
22.72954,8240,151,10352,13,93,201504
30.11159,484,36,547,5,93,201504
37.41297,3126,109,3935,17,93,201504
27.16291,4117,93,10048,7,93,201504
40.14618,46,8,55,12,93,201504
44.4387,1853,131,2513,19,93,201504
63.64204,633,73,710,9,93,201504
83.01653,2743,190,3744,8,93,201504
64.89954,479,27,538,15,93,201504
236.65228,329,49,356,2,93,201504
100.99243,530,13,658,10,93,201504
414.68817,130,25,175,18,93,201504
32.08253,5157,305,9785,3,93,201504
20.42708,0,0,14249,1,93,201504
218.23992,358,51,389,2,93,201505
46.38171,2033,132,2868,19,93,201505
28.48158,517,46,577,5,93,201505
26.71492,4170,101,10762,7,93,201505
82.58069,2882,186,3889,8,93,201505
355.19385,158,28,200,18,93,201505
33.17343,5778,307,10843,3,93,201505
120.44533,543,16,688,10,93,201505
43.97369,3490,111,4462,17,93,201505
74.27124,723,72,816,9,93,201505
29.10731,9197,156,11700,13,93,201505
63.25453,2023,151,2565,6,93,201505
60.64003,547,32,614,15,93,201505
18.02034,6712,42,8229,16,93,201505
30.49987,0,0,6383,1,93,201505
79.93528,651,76,744,9,93,201506
32.01785,5557,323,10250,3,93,201506
43.34831,2106,134,2942,19,93,201506
62.53424,562,31,616,15,93,201506
38.48463,3594,109,4501,17,93,201506
99.3836,825,18,992,10,93,201506
30.44809,618,41,701,5,93,201506
495.13775,206,27,249,18,93,201506
50.29304,1799,140,2322,6,93,201506
18.98817,7022,45,8645,16,93,201506
24.23707,9118,158,11539,13,93,201506
27.02151,4066,101,9857,7,93,201506
98.57704,57,8,71,12,93,201506
236.76896,365,50,385,2,93,201506
94.85387,2944,197,4012,8,93,201506
24.146,0,0,6148,1,93,201506
44.53354,1988,137,2820,19,93,201507
50.14502,489,32,534,15,93,201507
48.27864,1695,133,2200,6,93,201507
102.52426,668,68,751,9,93,201507
38.99154,3424,112,4366,17,93,201507
19.99819,9151,147,11600,13,93,201507
25.4858,3572,98,8280,7,93,201507
34.67826,5124,313,8840,3,93,201507
65.11377,47,7,61,12,93,201507
83.32286,2750,191,3714,8,93,201507
564.75508,200,29,236,18,93,201507
19.3554,7367,45,9128,16,93,201507
47.28155,475,34,550,5,93,201507
223.17104,438,50,460,2,93,201507
33.55134,0,0,6530,1,93,201507
60.06957,1494,146,1847,8,93,201508
213.82762,258,45,269,2,93,201508
53.15271,358,25,384,15,93,201508
67.16882,539,57,604,9,93,201508
54.60982,312,31,342,5,93,201508
479.50576,114,22,139,18,93,201508
43.04473,1491,129,1953,19,93,201508
24.28409,2853,85,5974,7,93,201508
36.38035,3723,283,5963,3,93,201508
37.90933,2255,103,2755,17,93,201508
45.02428,906,113,1102,6,93,201508
20.28655,7729,127,9618,13,93,201508
22.98722,0,0,14145,1,93,201508
33.10622,3221,113,3973,17,93,201509
78.73025,749,75,881,9,93,201509
32.70094,6048,324,10088,3,93,201509
474.21027,116,30,147,18,93,201509
106.78604,771,17,952,10,93,201509
58.84017,706,30,787,15,93,201509
43.40979,1920,131,2605,19,93,201509
23.28118,8112,150,10319,13,93,201509
76.92013,2699,195,3661,8,93,201509
52.90052,1451,133,1855,6,93,201509
205.15817,346,53,382,2,93,201509
26.72979,4112,95,10163,7,93,201509
18.37556,6567,46,7972,16,93,201509
119.93833,45,8,54,12,93,201509
39.7768,782,38,989,5,93,201509
24.45541,0,0,6252,1,93,201509
23.72166,8057,151,10239,13,93,201510
484.27791,113,25,139,18,93,201510
19.35401,6450,45,7861,16,93,201510
34.75544,6491,322,11661,3,93,201510
42.41775,1923,138,2620,19,93,201510
222.51596,344,56,366,2,93,201510
32.43496,3566,113,4447,17,93,201510
26.92088,4580,106,11501,7,93,201510
55.17775,1676,142,2141,6,93,201510
84.99859,847,73,978,9,93,201510
30.31119,603,33,689,5,93,201510
56.47912,729,32,818,15,93,201510
76.44316,2851,195,3904,8,93,201510
112.56688,606,17,720,10,93,201510
26.53221,0,0,6275,1,93,201510
53.41889,668,32,767,15,93,201511
18.93681,6095,40,7368,16,93,201511
32.69533,600,35,683,5,93,201511
116.3025,56,8,64,12,93,201511
72.28094,2834,193,3867,8,93,201511
45.30846,1856,145,2498,19,93,201511
59.2905,1743,151,2182,6,93,201511
67.06933,832,73,952,9,93,201511
22.91684,7336,153,9296,13,93,201511
32.50996,3454,110,4373,17,93,201511
366.7526,98,26,123,18,93,201511
30.02496,6693,323,12341,3,93,201511
26.94214,5114,116,13200,7,93,201511
106.0613,614,17,752,10,93,201511
236.99302,343,50,361,2,93,201511
25.5531,0,0,6028,1,93,201511
75.72598,2529,155,3098,6,93,201512
31.99879,6194,119,15877,7,93,201512
35.78165,7104,332,12023,3,93,201512
69.62556,1049,73,1227,9,93,201512
64.67945,886,37,998,15,93,201512
359.14116,87,24,112,18,93,201512
116.9217,617,16,751,10,93,201512
191.10324,327,53,352,2,93,201512
33.77925,3424,110,4120,17,93,201512
