origin_age_data_id,avg,cards,gender,merchants,txs
107,53.91354,40,M,51,65
108,73.23991,70,F,91,116
108,64.6892,54,M,64,87
109,56.15505,62,F,79,111
109,146.46766,38,M,40,47
110,68.03219,57,F,84,128
110,62.42278,26,M,27,36
111,99.20967,24,F,27,30
111,80.09429,18,M,21,35
112,36.01957,13,F,16,23
112,20.74043,6,M,10,23
113,30.63857,59,F,91,133
113,46.21411,44,M,65,107
114,62.18764,61,F,63,89
114,54.16226,45,M,58,93
115,50.29,56,F,80,100
115,71.59632,24,M,32,38
116,186.48512,42,F,55,84
116,81.45163,35,M,41,49
117,115.34519,30,F,41,52
117,57.387,21,M,26,30
118,17.553,12,F,15,20
118,41.99105,8,M,11,19
119,51.13167,93,F,119,192
119,61.34,49,M,58,72
120,43.42577,154,F,159,286
120,40.36817,100,M,107,175
121,64.23208,70,F,95,144
121,87.56827,45,M,53,75
122,57.90383,30,F,38,47
122,54.54091,13,M,17,33
123,40.17909,6,F,9,11
123,93.44,3,M,3,3
124,32.51784,15,F,28,37
124,24.0275,6,M,7,8
125,50.41619,72,F,93,126
125,40.77197,38,M,51,71
126,41.91071,95,F,115,196
126,48.40417,58,M,76,120
127,57.46873,74,F,92,134
127,101.06717,37,M,45,60
128,65.75938,71,F,69,112
128,96.85368,25,M,24,38
129,82.69206,20,F,27,34
129,71.36158,13,M,17,19
130,27.04714,16,F,24,28
130,17.81,6,M,13,18
131,42.69088,65,F,90,148
131,40.34434,45,M,50,76
132,69.12611,90,F,114,193
132,69.13227,49,M,57,75
133,53.60476,55,F,81,126
133,80.88538,42,M,55,65
134,72.9971,38,F,50,62
134,61.97031,18,M,25,32
135,75.26576,21,F,37,66
135,56.89211,12,M,15,19
136,30.11,7,F,10,10
136,23.50633,6,M,16,30
137,43.29007,45,F,92,147
137,35.18821,23,M,36,56
138,72.16845,37,F,79,110
138,58.0175,37,M,47,64
139,47.01635,50,F,84,115
139,59.05052,28,M,61,77
140,53.79748,45,F,71,107
140,126.91,29,M,42,54
141,58.68534,44,F,65,103
141,92.03545,21,M,20,22
142,39.581,13,F,26,30
142,39.08435,18,M,19,23
143,42.94245,82,F,96,159
143,43.7235,47,M,62,80
144,69.65633,75,F,97,147
144,62.52041,33,M,40,49
145,56.32077,58,F,88,117
145,75.99233,27,M,41,43
146,67.00495,62,F,79,109
146,101.02381,18,M,19,21
147,112.02652,41,F,36,46
147,103.44667,8,M,8,9
148,30.003,22,F,29,40
148,47.76125,6,M,7,8
149,36.16126,73,F,71,151
149,55.05541,46,M,49,61
150,32.92816,99,F,86,179
150,45.56759,35,M,47,58
151,41.9413,109,F,100,193
151,69.73957,32,M,35,46
152,55.57276,75,F,81,127
152,83.67419,26,M,28,31
153,61.04789,43,F,43,57
153,55.642,19,M,20,25
154,52.56615,10,F,12,13
154,35.30882,10,M,15,17
155,42.96703,45,F,90,148
155,77.84221,41,M,59,68
156,72.78723,57,F,71,94
156,45.64458,50,M,67,96
157,57.25835,53,F,74,115
157,61.7337,41,M,39,54
158,57.86098,31,F,35,41
158,102.51455,16,M,25,33
159,96.89714,19,F,22,28
159,103.17133,10,M,13,15
160,53.73944,12,F,17,18
160,50.36,3,M,5,5
161,57.11208,39,F,63,101
161,41.88406,21,M,27,32
162,57.29649,55,F,87,114
162,113.31367,41,M,48,79
163,52.11553,45,F,55,85
163,62.26351,30,M,32,37
164,60.24554,37,F,49,83
164,171.75353,14,M,17,17
165,78.2004,19,F,20,25
165,122.37647,11,M,14,17
166,38.11409,15,F,18,22
166,26.72429,10,M,18,21
167,59.20884,33,F,72,86
167,64.80859,33,M,60,78
168,65.62341,26,F,34,41
168,103.76362,29,M,37,47
169,59.23707,31,F,62,82
169,90.8275,29,M,30,44
170,95.29222,22,F,31,54
170,85.68935,19,M,25,31
171,134.19795,14,F,32,39
171,28.955,3,M,4,4
172,34.59733,8,F,13,15
172,79.89417,8,M,10,12
173,58.45927,38,F,61,82
173,45.54913,37,M,52,69
174,87.93969,42,F,74,98
