id,zipcode_id,avg,cards,date,merchants,txs
2374,111,44.95344,4572,201508,12664,4572
2375,111,44.37237,4752,201509,9675,4752
2376,111,43.00278,4696,201510,9432,4696
2377,111,43.20332,4728,201511,9271,4728
2378,111,44.8096,4985,201512,10617,4985
2379,193,45.71276,4280,201501,6442,4280
2380,193,43.43066,4144,201502,5631,4144
2381,193,44.69479,4302,201503,6834,4302
2382,193,44.85256,4298,201504,7039,4298
2383,193,44.37043,4372,201505,6853,4372
2384,193,44.61125,4359,201506,6956,4359
2385,193,46.2238,4524,201507,9173,4524
2386,193,46.26389,4443,201508,9412,4443
2387,193,45.38912,4483,201509,7239,4483
2388,193,43.41758,4462,201510,7028,4462
2389,193,43.74865,4529,201511,6998,4529
2390,193,45.29043,4729,201512,8042,4729
2391,259,48.43642,350,201501,1103,350
2392,259,53.19429,355,201502,1021,355
2393,259,52.81583,381,201503,1224,381
2394,259,54.52217,374,201504,1208,374
2395,259,49.36233,368,201505,1256,368
2396,259,53.04317,385,201506,1314,385
2397,259,50.98715,394,201507,1449,394
2398,259,55.86984,389,201508,1430,389
2399,259,52.09562,390,201509,1319,390
2400,259,48.54043,413,201510,1355,413
2401,259,49.36836,410,201511,1335,410
2402,259,54.8564,424,201512,1487,424
2403,299,43.61995,402,201501,1141,402
2404,299,43.23527,387,201502,1001,387
2405,299,46.5486,395,201503,1157,395
2406,299,45.05967,406,201504,1149,406
2407,299,44.10354,396,201505,1121,396
2408,299,45.02553,392,201506,1151,392
2409,299,50.8965,404,201507,1242,404
2410,299,50.1208,405,201508,1246,405
2411,299,49.61913,409,201509,1208,409
2412,299,46.39109,409,201510,1184,409
2413,299,44.98109,404,201511,1178,404
2414,299,48.46786,424,201512,1215,424
2415,156,47.98936,204,201501,674,204
2416,156,47.94557,206,201502,558,206
2417,156,48.07609,214,201503,684,214
2418,156,47.96953,209,201504,656,209
2419,156,47.87851,202,201505,649,202
2420,156,48.2273,213,201506,741,213
2421,156,49.42221,208,201507,794,208
2422,156,48.45346,200,201508,752,200
2423,156,52.26623,215,201509,698,215
2424,156,48.88426,222,201510,704,222
2425,156,49.18528,217,201511,672,217
2426,156,51.81116,222,201512,817,222
2427,206,40.61274,19,201501,103,19
2428,206,51.49671,20,201502,103,20
2429,206,37.52572,20,201503,109,20
2430,206,33.55422,19,201504,109,19
2431,206,45.59701,17,201505,121,17
2432,206,43.37209,20,201506,142,20
2433,206,44.27704,20,201507,166,20
2434,206,42.53678,17,201508,140,17
2435,206,44.06694,20,201509,150,20
2436,206,36.03485,20,201510,143,20
